date,PM25,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,PM25_IAQI,PM10_IAQI,SO2_IAQI,NO2_IAQI,CO_IAQI,O3_IAQI,AQI,code,
2015_1_1,57.1,84.03,18.97,61.81,1.18,49.77,-6.07,-8.22,286.44,43.46,101702.62,77.625,67.015,31.616666666666667,77.2625,29.5,24.885,77.625,810012,
2015_1_2,55.77,84.15,16.46,46.09,1.12,61.55,-5.51,-4.91,286.34,49.47,101676.48,75.9625,67.075,27.433333333333337,57.612500000000004,28.000000000000004,30.775,75.9625,810012,
2015_1_3,33.72,54.75,9.67,36.33,0.87,65.34,-6.21,-2.35,288.69,59.83,101421.45,48.17142857142857,52.375,16.116666666666667,45.412499999999994,21.75,32.67,52.375,810012,
2015_1_4,31.07,46.27,7.27,40.85,0.78,58.08,-6.19,0.77,290.69,88.14,100938.5,44.385714285714286,46.27,12.116666666666667,51.0625,19.5,29.04,51.0625,810012,
2015_1_5,28.73,39.14,5.68,41.45,0.73,50.42,-4.52,2.12,292.18,92.22,100717.59,41.042857142857144,39.14,9.466666666666667,51.8125,18.25,25.21,51.8125,810012,
2015_1_6,33.71,55.19,8.97,64.48,0.86,38.22,-1.47,-1.27,292.3,92.48,100782.37,48.15714285714286,52.595,14.950000000000001,80.60000000000001,21.5,19.11,80.60000000000001,810012,
2015_1_7,52.29,65.19,17.41,56.85,1.6,25.36,-4.39,-8.79,286.99,67.04,101272.91,71.6125,57.595,29.01666666666667,71.0625,40.0,12.68,71.6125,810012,
2015_1_8,48.52,64.53,20.09,46.02,1.46,53.62,-5.39,-7.52,286.51,49.64,101686.79,66.9,57.265,33.483333333333334,57.525000000000006,36.5,26.81,66.9,810012,
2015_1_9,62.89,86.32,19.81,60.63,1.25,55.77,-5.37,-5.89,286.06,51.23,101696.72,84.8625,68.16,33.016666666666666,75.7875,31.25,27.885,84.8625,810012,
2015_1_10,68.23,95.3,18.53,72.13,1.25,55.51,-5.0,-6.03,287.28,47.86,101554.58,91.53750000000001,72.65,30.883333333333336,90.1625,31.25,27.755,91.53750000000001,810012,
2015_1_11,75.5,92.69,18.82,54.48,1.22,42.67,-4.68,-6.66,286.7,54.82,101506.19,100.625,71.345,31.366666666666667,68.1,30.5,21.335,100.625,810012,
2015_1_12,46.41,46.42,11.77,45.52,1.14,32.58,-4.91,-9.63,284.91,85.82,101490.91,64.26249999999999,46.42,19.616666666666667,56.900000000000006,28.499999999999996,16.29,64.26249999999999,810012,
2015_1_13,17.32,19.69,9.8,44.93,1.13,30.49,-3.34,-9.44,284.31,86.39,101368.72,24.742857142857144,19.69,16.333333333333336,56.1625,28.249999999999996,15.245,56.1625,810012,
2015_1_14,25.17,33.51,14.41,45.98,1.09,37.08,-2.59,-9.65,284.14,66.6,101426.7,35.95714285714286,33.51,24.01666666666667,57.474999999999994,27.250000000000004,18.54,57.474999999999994,810012,
2015_1_15,41.1,59.27,12.29,56.81,1.1,43.29,-4.13,-5.86,284.96,63.24,101527.94,57.625,54.635000000000005,20.483333333333334,71.0125,27.500000000000004,21.645,71.0125,810012,
2015_1_16,57.38,83.83,16.04,87.97,1.31,41.07,-3.97,-5.76,286.53,63.48,101588.41,77.975,66.91499999999999,26.733333333333334,103.985,32.75,20.535,103.985,810012,
2015_1_17,47.29,64.7,14.33,40.72,0.97,63.98,-6.86,-5.47,286.86,62.09,101672.76,65.3625,57.35,23.883333333333333,50.9,24.25,31.99,65.3625,810012,
2015_1_18,69.85,93.87,16.35,45.48,1.2,62.68,-5.11,-6.07,286.92,59.36,101659.97,93.5625,71.935,27.250000000000004,56.849999999999994,30.0,31.34,93.5625,810012,
2015_1_19,64.44,90.91,19.29,46.17,1.1,71.87,-5.62,-5.81,286.83,50.35,101512.25,86.8,70.455,32.15,57.712500000000006,27.500000000000004,35.935,86.8,810012,
2015_1_20,46.48,76.35,10.87,60.02,0.95,68.42,-5.15,-2.33,289.04,52.54,101407.13,64.35,63.175,18.116666666666667,75.025,23.75,34.21,75.025,810012,
2015_1_21,98.5,148.4,19.69,133.34,1.58,58.95,-2.07,-5.13,289.53,53.13,101456.91,129.375,99.2,32.81666666666667,126.67,39.5,29.475,129.375,810012,
2015_1_22,59.38,79.24,13.29,77.66,1.16,55.57,-6.37,-4.18,288.12,46.54,101546.01,80.475,64.62,22.15,97.07499999999999,28.999999999999996,27.785,97.07499999999999,810012,
2015_1_23,40.24,64.82,9.21,45.51,0.91,74.05,-7.21,-0.07,289.22,72.76,101395.6,56.550000000000004,57.41,15.350000000000001,56.887499999999996,22.75,37.025,57.41,810012,
2015_1_24,46.31,65.64,7.17,30.21,0.96,78.02,-8.42,0.5,290.45,90.83,101203.03,64.1375,57.82,11.950000000000001,37.7625,24.0,39.01,64.1375,810012,
2015_1_25,34.57,46.52,5.01,41.6,0.71,55.47,-3.35,0.35,291.33,94.33,101153.76,49.385714285714286,46.52,8.35,52.0,17.75,27.735,52.0,810012,
2015_1_26,43.51,57.48,7.5,47.97,0.84,44.98,-3.01,-0.55,290.83,92.53,101184.32,60.637499999999996,53.739999999999995,12.5,59.9625,21.0,22.49,60.637499999999996,810012,
2015_1_27,41.69,51.39,7.91,31.46,0.91,57.98,-5.18,-1.42,290.64,89.26,101131.77,58.3625,50.695,13.183333333333334,39.325,22.75,28.99,58.3625,810012,
2015_1_28,27.71,36.73,6.56,17.94,0.81,73.26,-8.68,-1.31,289.46,84.32,101122.11,39.58571428571429,36.73,10.933333333333334,22.425,20.25,36.63,39.58571428571429,810012,
2015_1_29,26.36,44.89,9.51,50.32,0.77,53.17,-5.15,-1.87,289.77,78.37,101253.17,37.65714285714286,44.89,15.85,62.9,19.25,26.585,62.9,810012,
2015_1_30,45.83,64.29,15.16,63.09,1.3,36.2,-4.07,-8.79,285.78,63.67,101565.1,63.537499999999994,57.145,25.26666666666667,78.86250000000001,32.5,18.1,78.86250000000001,810012,
2015_1_31,45.67,66.76,14.23,57.73,1.3,22.61,-4.74,-6.92,285.73,62.3,101782.28,63.337500000000006,58.38,23.71666666666667,72.1625,32.5,11.305,72.1625,810012,
2015_2_1,50.94,68.64,12.87,47.66,1.26,37.69,-5.3,-5.75,286.74,63.1,101863.14,69.925,59.32,21.45,59.574999999999996,31.5,18.845,69.925,810012,
2015_2_2,53.03,71.0,12.69,57.39,1.29,58.17,-4.38,-4.39,288.24,60.74,101810.77,72.5375,60.5,21.15,71.7375,32.25,29.085,72.5375,810012,
2015_2_3,48.13,70.51,15.13,69.81,1.12,54.44,-4.06,-4.43,289.91,65.18,101757.32,66.4125,60.255,25.21666666666667,87.2625,28.000000000000004,27.22,87.2625,810012,
2015_2_4,57.76,71.18,15.23,55.27,1.41,32.56,-3.26,-8.1,286.24,63.27,101702.55,78.44999999999999,60.59,25.383333333333336,69.0875,35.25,16.28,78.44999999999999,810012,
2015_2_5,43.55,53.2,12.94,38.27,1.31,39.89,-3.35,-8.63,283.85,51.96,101795.31,60.6875,51.6,21.566666666666666,47.837500000000006,32.75,19.945,60.6875,810012,
2015_2_6,82.53,101.57,18.31,57.39,1.38,41.71,-3.46,-5.27,283.96,49.48,101665.55,109.4125,75.785,30.516666666666666,71.7375,34.5,20.855,109.4125,810012,
2015_2_7,79.69,106.7,16.47,62.15,1.36,50.93,-2.06,-4.39,286.88,62.95,101422.73,105.8625,78.35,27.45,77.6875,34.0,25.465,105.8625,810012,
2015_2_8,63.55,84.05,20.95,38.87,1.11,68.63,-3.72,-7.92,286.29,43.96,101626.62,85.6875,67.025,34.916666666666664,48.5875,27.750000000000004,34.315,85.6875,810012,
2015_2_9,68.51,96.73,17.67,47.95,1.09,84.45,-5.44,-5.52,286.52,51.16,101742.7,91.8875,73.36500000000001,29.450000000000003,59.9375,27.250000000000004,42.225,91.8875,810012,
2015_2_10,45.2,61.44,11.24,36.88,0.87,83.96,-4.07,-2.54,287.13,56.77,101473.89,62.75,55.72,18.733333333333334,46.1,21.75,41.98,62.75,810012,
2015_2_11,82.87,111.03,18.47,90.69,1.16,46.54,0.17,-2.09,288.53,54.74,101152.4,109.8375,80.515,30.78333333333333,105.345,28.999999999999996,23.27,109.8375,810012,
2015_2_12,105.82,128.15,15.65,56.53,1.32,66.09,-3.83,-2.17,288.4,58.61,101129.36,138.52499999999998,89.075,26.083333333333336,70.6625,33.0,33.045,138.52499999999998,810012,
2015_2_13,34.97,57.93,7.79,40.23,0.7,75.35,-6.45,-0.44,290.09,63.64,101097.45,49.957142857142856,53.965,12.983333333333334,50.287499999999994,17.5,37.675,53.965,810012,
2015_2_14,37.32,65.61,6.6,25.43,0.69,85.01,-8.32,-0.49,291.4,80.49,100965.98,52.9,57.805,11.0,31.7875,17.25,42.505,57.805,810012,
2015_2_15,54.69,77.04,5.99,67.94,0.9,47.34,-4.44,0.56,292.33,95.95,100917.21,74.6125,63.52,9.983333333333334,84.925,22.5,23.67,84.925,810012,
2015_2_16,71.48,79.04,6.76,57.46,1.22,27.5,-0.35,-1.08,292.23,88.47,100973.29,95.60000000000001,64.52000000000001,11.266666666666667,71.825,30.5,13.75,95.60000000000001,810012,
2015_2_17,44.94,49.17,7.52,34.51,1.0,43.68,-4.78,-1.85,292.05,81.77,100916.35,62.425,49.17,12.533333333333333,43.137499999999996,25.0,21.84,62.425,810012,
2015_2_18,49.39,72.85,8.19,14.06,0.98,92.03,-8.95,-0.01,291.44,87.23,101093.97,67.9875,61.425,13.65,17.575,24.5,46.015,67.9875,810012,
2015_2_19,42.32,69.54,6.08,11.86,0.72,92.67,-11.26,0.18,291.24,87.03,101199.18,59.15,59.77,10.133333333333335,14.825,18.0,46.335,59.77,810012,
2015_2_20,25.7,41.35,4.8,12.79,0.52,80.56,-8.66,1.45,292.2,91.21,101002.2,36.714285714285715,41.35,8.0,15.987499999999999,13.0,40.28,41.35,810012,
2015_2_21,22.54,32.02,6.26,16.42,0.48,62.85,-0.8,3.71,293.24,95.61,100774.49,32.2,32.02,10.433333333333334,20.525000000000002,12.0,31.425,32.2,810012,
2015_2_22,29.03,35.09,7.24,30.66,0.67,34.23,-2.17,0.72,293.13,92.36,100925.27,41.471428571428575,35.09,12.066666666666668,38.325,16.75,17.115,41.471428571428575,810012,
2015_2_23,17.81,22.46,5.05,19.51,0.64,47.01,-4.09,2.84,293.48,95.23,100868.11,25.442857142857143,22.46,8.416666666666666,24.387500000000003,16.0,23.505,25.442857142857143,810012,
2015_2_24,22.97,27.78,4.4,17.94,0.75,47.04,-3.5,4.15,293.33,95.88,100747.79,32.81428571428572,27.78,7.333333333333334,22.425,18.75,23.52,32.81428571428572,810012,
2015_2_25,21.84,27.8,4.06,18.26,0.67,44.23,-2.75,5.11,293.6,94.09,100649.38,31.2,27.8,6.766666666666667,22.825000000000003,16.75,22.115,31.2,810012,
2015_2_26,19.76,25.77,4.13,21.32,0.5,41.49,-1.63,3.63,293.22,95.53,100723.46,28.22857142857143,25.77,6.883333333333334,26.65,12.5,20.745,28.22857142857143,810012,
2015_2_27,18.3,28.35,4.49,17.07,0.53,52.93,-6.88,2.67,293.11,95.03,100839.75,26.142857142857146,28.35,7.483333333333334,21.3375,13.25,26.465,28.35,810012,
2015_2_28,18.6,32.03,4.12,19.36,0.59,58.28,-6.83,2.02,293.77,93.59,100919.1,26.571428571428573,32.03,6.866666666666667,24.2,14.75,29.14,32.03,810012,
2015_3_1,15.85,23.81,8.93,30.84,0.96,36.18,-3.8,-7.53,289.24,65.2,101286.76,22.642857142857142,23.81,14.883333333333333,38.55,24.0,18.09,38.55,810012,
2015_3_2,23.01,39.1,7.76,22.79,0.84,49.41,-5.89,-0.44,290.76,78.58,100968.3,32.871428571428574,39.1,12.933333333333334,28.487499999999997,21.0,24.705,39.1,810012,
2015_3_3,32.99,48.02,5.95,32.97,0.88,52.76,-3.64,2.32,292.67,90.19,100561.68,47.12857142857143,48.02,9.916666666666668,41.2125,22.0,26.38,48.02,810012,
2015_3_4,19.4,28.2,5.99,28.45,1.03,27.32,-6.54,-4.05,289.54,86.55,100826.39,27.71428571428571,28.2,9.983333333333334,35.5625,25.75,13.66,35.5625,810012,
2015_3_5,19.71,34.25,4.61,18.98,0.65,51.8,-8.29,2.63,293.07,92.8,100914.01,28.15714285714286,34.25,7.6833333333333345,23.725,16.25,25.9,34.25,810012,
2015_3_6,26.75,35.49,4.47,29.65,0.76,34.6,-5.53,-0.5,292.0,93.09,100978.96,38.214285714285715,35.49,7.45,37.0625,19.0,17.3,38.214285714285715,810012,
2015_3_7,28.31,35.63,4.63,29.77,0.75,35.53,-5.97,-0.6,291.8,88.41,101053.23,40.44285714285714,35.63,7.716666666666667,37.2125,18.75,17.765,40.44285714285714,810012,
2015_3_8,22.77,34.14,4.71,30.73,0.64,52.22,-5.79,1.17,292.81,91.22,101052.77,32.52857142857143,34.14,7.8500000000000005,38.4125,16.0,26.11,38.4125,810012,
2015_3_9,38.0,58.25,9.95,67.6,1.0,34.88,-2.88,-1.52,293.41,81.09,101234.11,53.75,54.125,16.583333333333332,84.5,25.0,17.44,84.5,810012,
2015_3_10,23.48,39.37,7.61,18.17,0.64,80.44,-10.41,-2.25,290.47,69.38,101493.92,33.542857142857144,39.37,12.683333333333334,22.712500000000002,16.0,40.22,40.22,810012,
2015_3_11,32.89,45.29,6.39,27.36,0.69,53.9,-6.82,-2.49,289.72,84.3,101465.95,46.98571428571429,45.29,10.65,34.2,17.25,26.95,46.98571428571429,810012,
2015_3_12,14.92,21.0,5.86,35.19,1.01,17.66,-3.02,-2.52,289.7,80.19,101343.87,21.314285714285713,21.0,9.766666666666667,43.9875,25.25,8.83,43.9875,810012,
2015_3_13,22.04,31.61,6.61,29.58,0.64,51.87,-5.73,1.86,292.4,86.46,101158.69,31.485714285714284,31.61,11.016666666666667,36.974999999999994,16.0,25.935,36.974999999999994,810012,
2015_3_14,29.26,42.76,6.06,36.89,0.67,53.58,-5.2,2.84,293.7,90.78,101155.65,41.800000000000004,42.76,10.1,46.1125,16.75,26.79,46.1125,810012,
2015_3_15,21.93,29.86,4.68,28.28,0.53,52.36,-2.85,4.44,294.2,94.86,100961.93,31.32857142857143,29.86,7.8,35.35,13.25,26.18,35.35,810012,
2015_3_16,19.97,26.73,4.11,27.94,0.49,42.68,-1.33,4.95,295.06,92.8,100886.7,28.52857142857143,26.73,6.8500000000000005,34.925000000000004,12.25,21.34,34.925000000000004,810012,
2015_3_17,21.18,27.53,4.19,18.28,0.46,48.13,-2.2,6.4,295.01,94.3,100603.78,30.257142857142856,27.53,6.983333333333334,22.85,11.5,24.065,30.257142857142856,810012,
2015_3_18,21.49,31.07,4.18,19.98,0.48,43.6,-1.51,5.87,294.94,95.18,100458.88,30.7,31.07,6.966666666666667,24.975,12.0,21.8,31.07,810012,
2015_3_19,22.7,31.91,4.36,26.19,0.46,37.12,-1.44,3.67,294.92,94.66,100676.86,32.42857142857143,31.91,7.2666666666666675,32.737500000000004,11.5,18.56,32.737500000000004,810012,
2015_3_20,24.03,34.85,4.37,29.9,0.47,35.02,-0.78,2.54,294.13,94.38,100883.41,34.32857142857143,34.85,7.283333333333334,37.375,11.75,17.51,37.375,810012,
2015_3_21,44.05,64.25,10.93,59.32,0.94,31.38,-1.41,-0.64,295.12,85.68,100994.39,61.3125,57.125,18.21666666666667,74.15,23.5,15.69,74.15,810012,
2015_3_22,39.07,57.09,7.71,23.91,0.88,68.84,-5.82,-0.81,294.88,88.26,100977.08,55.0875,53.545,12.85,29.8875,22.0,34.42,55.0875,810012,
2015_3_23,39.18,73.61,8.45,26.15,0.81,89.48,-8.34,-0.3,294.81,81.34,100964.92,55.225,61.805,14.083333333333332,32.6875,20.25,44.74,61.805,810012,
2015_3_24,35.8,51.58,8.7,23.65,0.76,71.89,-7.91,-3.0,293.46,71.66,101358.53,51.0,50.79,14.5,29.5625,19.0,35.945,51.0,810012,
2015_3_25,29.14,44.73,7.8,28.67,0.59,64.33,-8.86,-3.24,292.91,63.72,101519.7,41.62857142857143,44.73,13.0,35.837500000000006,14.75,32.165,44.73,810012,
2015_3_26,29.3,40.54,6.08,29.85,0.55,55.3,-7.8,-2.42,293.45,73.37,101565.54,41.85714285714286,40.54,10.133333333333335,37.3125,13.750000000000002,27.65,41.85714285714286,810012,
2015_3_27,31.13,45.59,6.65,46.01,0.73,38.28,-3.45,-1.77,294.77,73.84,101406.05,44.47142857142857,45.59,11.083333333333334,57.512499999999996,18.25,19.14,57.512499999999996,810012,
2015_3_28,28.05,42.17,7.9,38.87,0.7,49.95,-4.01,-0.06,294.32,81.87,101116.09,40.07142857142858,42.17,13.166666666666668,48.5875,17.5,24.975,48.5875,810012,
2015_3_29,30.9,40.78,6.14,28.6,0.53,69.05,-4.62,1.87,294.48,85.36,100909.34,44.14285714285714,40.78,10.233333333333333,35.75,13.25,34.525,44.14285714285714,810012,
2015_3_30,22.45,30.86,4.46,20.39,0.41,69.43,-2.94,4.07,295.2,89.23,100752.81,32.07142857142857,30.86,7.433333333333334,25.4875,10.25,34.715,34.715,810012,
2015_3_31,16.9,23.62,4.2,24.87,0.35,41.76,-1.7,4.4,295.18,91.35,100685.91,24.142857142857142,23.62,7.000000000000001,31.087500000000002,8.75,20.88,31.087500000000002,810012,
2015_4_1,15.22,21.87,4.34,20.19,0.32,34.87,-1.55,5.88,295.41,94.21,100551.53,21.742857142857144,21.87,7.233333333333333,25.2375,8.0,17.435,25.2375,810012,
2015_4_2,14.89,23.49,4.92,14.97,0.33,39.67,-0.72,7.25,295.86,94.25,100188.52,21.271428571428572,23.49,8.200000000000001,18.712500000000002,8.25,19.835,23.49,810012,
2015_4_3,12.24,23.29,5.01,13.83,0.29,42.88,-0.01,7.72,296.77,95.27,100040.49,17.485714285714288,23.29,8.35,17.2875,7.249999999999999,21.44,23.29,810012,
2015_4_4,10.46,18.47,4.13,15.28,0.28,38.32,-1.66,6.75,296.67,94.59,100232.09,14.942857142857145,18.47,6.883333333333334,19.099999999999998,7.000000000000001,19.16,19.16,810012,
2015_4_5,16.89,22.79,4.46,20.82,0.34,41.48,-3.6,2.96,296.02,91.38,100416.22,24.12857142857143,22.79,7.433333333333334,26.025,8.5,20.74,26.025,810012,
2015_4_6,13.93,28.15,6.08,30.15,0.42,23.87,-2.43,0.51,297.29,87.52,100444.49,19.9,28.15,10.133333333333335,37.6875,10.5,11.935,37.6875,810012,
2015_4_7,21.98,39.09,7.69,31.21,0.65,37.15,-5.38,-3.65,296.17,80.82,100708.18,31.400000000000002,39.09,12.816666666666668,39.0125,16.25,18.575,39.09,810012,
2015_4_8,18.65,26.37,8.5,33.06,1.04,21.57,-4.35,-7.51,289.96,69.34,101111.08,26.642857142857142,26.37,14.166666666666668,41.325,26.0,10.785,41.325,810012,
2015_4_9,22.23,31.32,5.9,35.26,0.76,24.06,-5.32,-2.93,292.86,78.38,101039.41,31.75714285714286,31.32,9.833333333333334,44.074999999999996,19.0,12.03,44.074999999999996,810012,
2015_4_10,16.58,25.26,7.47,43.77,0.98,11.58,-3.39,-6.16,291.69,71.64,101064.51,23.685714285714283,25.26,12.45,54.712500000000006,24.5,5.79,54.712500000000006,810012,
2015_4_11,19.22,24.49,6.22,46.36,1.05,15.13,-3.67,-5.55,289.91,84.07,101135.77,27.457142857142856,24.49,10.366666666666667,57.95,26.25,7.565,57.95,810012,
2015_4_12,34.84,51.74,9.09,46.27,1.08,44.7,-1.98,-4.8,293.22,69.85,101164.47,49.77142857142858,50.870000000000005,15.15,57.837500000000006,27.0,22.35,57.837500000000006,810012,
2015_4_13,59.79,106.12,14.81,67.87,1.21,61.74,-3.13,-7.73,293.85,44.51,101243.85,80.9875,78.06,24.683333333333334,84.8375,30.25,30.87,84.8375,810012,
2015_4_14,28.02,67.71,13.61,43.62,0.62,88.52,-4.35,-4.97,291.64,35.51,101256.03,40.02857142857143,58.855,22.683333333333334,54.525,15.5,44.26,58.855,810012,
2015_4_15,27.53,47.14,8.7,52.94,0.45,81.5,-0.87,2.7,293.56,52.01,100938.93,39.32857142857143,47.14,14.5,66.175,11.25,40.75,66.175,810012,
2015_4_16,27.33,44.83,9.9,46.19,0.44,79.57,0.37,2.19,294.66,64.6,100870.75,39.042857142857144,44.83,16.5,57.7375,11.0,39.785,57.7375,810012,
2015_4_17,24.04,32.5,5.82,29.84,0.39,68.04,-0.76,4.25,294.71,73.37,100567.23,34.34285714285714,32.5,9.700000000000001,37.3,9.75,34.02,37.3,810012,
2015_4_18,15.85,26.35,4.25,14.92,0.35,48.91,-2.1,7.26,296.15,92.04,100308.98,22.642857142857142,26.35,7.083333333333334,18.65,8.75,24.455,26.35,810012,
2015_4_19,15.98,29.66,6.67,14.3,0.36,45.51,2.16,7.59,296.96,97.47,100146.27,22.82857142857143,29.66,11.116666666666667,17.875,9.0,22.755,29.66,810012,
2015_4_20,22.41,39.47,8.61,32.74,0.65,33.6,2.22,1.11,298.29,85.0,100215.77,32.01428571428571,39.47,14.35,40.925000000000004,16.25,16.8,40.925000000000004,810012,
2015_4_21,21.82,34.69,9.05,33.47,1.16,58.59,-3.62,-4.9,294.37,71.38,100624.45,31.17142857142857,34.69,15.083333333333336,41.8375,28.999999999999996,29.295,41.8375,810012,
2015_4_22,33.02,50.37,9.82,27.9,0.92,73.78,-5.41,-2.6,294.72,75.18,100949.15,47.17142857142858,50.185,16.366666666666667,34.875,23.0,36.89,50.185,810012,
2015_4_23,30.03,50.38,8.1,32.89,0.62,83.42,-7.06,-1.73,295.9,63.5,101041.81,42.900000000000006,50.19,13.5,41.1125,15.5,41.71,50.19,810012,
2015_4_24,39.55,60.06,8.87,39.92,0.69,89.56,-4.68,-0.4,296.67,69.11,101000.92,55.6875,55.03,14.783333333333333,49.900000000000006,17.25,44.78,55.6875,810012,
2015_4_25,31.89,48.37,6.94,28.78,0.54,87.28,-4.91,-0.2,296.12,81.51,100915.66,45.55714285714286,48.37,11.566666666666668,35.975,13.5,43.64,48.37,810012,
2015_4_26,25.77,44.24,5.82,16.68,0.45,97.58,-4.92,0.12,295.86,82.21,100894.27,36.81428571428572,44.24,9.700000000000001,20.85,11.25,48.79,48.79,810012,
2015_4_27,27.85,45.83,6.14,28.88,0.5,69.24,-3.45,1.61,296.01,86.23,100726.05,39.78571428571429,45.83,10.233333333333333,36.1,12.5,34.62,45.83,810012,
2015_4_28,26.57,39.5,7.73,29.94,0.43,43.89,0.81,2.86,295.91,92.12,100500.58,37.957142857142856,39.5,12.883333333333335,37.425000000000004,10.75,21.945,39.5,810012,
2015_4_29,21.17,34.47,10.22,25.87,0.43,46.18,2.27,3.04,296.43,91.99,100419.9,30.242857142857147,34.47,17.033333333333335,32.3375,10.75,23.09,34.47,810012,
2015_4_30,19.94,30.61,9.95,24.06,0.4,43.86,1.15,3.41,296.76,91.55,100423.55,28.485714285714288,30.61,16.583333333333332,30.075,10.0,21.93,30.61,810012,
2015_5_1,12.99,18.74,4.14,14.06,0.3,41.54,-1.24,5.34,297.13,91.32,100297.12,18.557142857142857,18.74,6.8999999999999995,17.575,7.5,20.77,20.77,810012,
2015_5_2,7.83,16.39,5.86,11.5,0.26,37.11,1.18,8.41,298.14,92.48,100143.59,11.185714285714287,16.39,9.766666666666667,14.375,6.5,18.555,18.555,810012,
2015_5_3,7.25,15.84,7.62,12.82,0.28,39.16,2.56,6.35,298.56,94.38,100196.03,10.357142857142858,15.84,12.700000000000001,16.025,7.000000000000001,19.58,19.58,810012,
2015_5_4,7.69,14.44,6.12,13.68,0.26,42.27,0.59,6.66,298.26,94.95,100242.48,10.985714285714286,14.44,10.200000000000001,17.1,6.5,21.135,21.135,810012,
2015_5_5,8.87,15.04,4.57,14.14,0.28,46.01,-0.71,6.75,297.93,93.73,100098.8,12.67142857142857,15.04,7.616666666666667,17.675,7.000000000000001,23.005,23.005,810012,
2015_5_6,7.42,15.19,4.22,12.6,0.3,49.03,-0.58,7.95,298.35,92.86,99998.2,10.6,15.19,7.033333333333333,15.75,7.5,24.515,24.515,810012,
2015_5_7,6.26,13.58,6.11,15.16,0.29,34.12,1.1,7.19,298.66,92.49,100134.88,8.942857142857143,13.58,10.183333333333334,18.95,7.249999999999999,17.06,18.95,810012,
2015_5_8,4.94,11.85,3.99,11.68,0.27,30.73,-0.85,8.32,298.68,91.3,100033.52,7.057142857142858,11.85,6.65,14.6,6.75,15.365,15.365,810012,
2015_5_9,6.11,13.17,6.05,16.61,0.32,36.98,2.59,5.84,299.17,92.8,100034.55,8.72857142857143,13.17,10.083333333333334,20.7625,8.0,18.49,20.7625,810012,
2015_5_10,8.03,14.09,4.11,22.38,0.4,39.5,-0.68,5.45,299.29,90.94,100121.58,11.471428571428572,14.09,6.8500000000000005,27.974999999999998,10.0,19.75,27.974999999999998,810012,
2015_5_11,6.93,11.76,4.12,17.91,0.37,39.52,0.39,5.82,299.5,87.21,100176.56,9.9,11.76,6.866666666666667,22.3875,9.25,19.76,22.3875,810012,
2015_5_12,18.4,33.19,9.75,33.55,0.8,74.23,-4.96,-4.45,296.37,57.84,100508.08,26.285714285714285,33.19,16.25,41.9375,20.0,37.115,41.9375,810012,
2015_5_13,17.82,28.9,5.05,14.63,0.49,83.64,-2.69,4.61,298.94,80.91,100451.66,25.45714285714286,28.9,8.416666666666666,18.2875,12.25,41.82,41.82,810012,
2015_5_14,7.44,11.87,3.79,15.13,0.31,35.7,-0.65,6.99,299.7,85.77,100433.91,10.62857142857143,11.87,6.316666666666667,18.9125,7.75,17.85,18.9125,810012,
2015_5_15,7.29,13.48,5.13,11.3,0.29,36.01,0.32,8.49,299.81,89.11,100340.54,10.414285714285715,13.48,8.55,14.125,7.249999999999999,18.005,18.005,810012,
