date,PM2.5(微克每立方米), PM10(微克每立方米), SO2(微克每立方米), NO2(微克每立方米), CO(毫克每立方米), O3(微克每立方米), U(m/s), V(m/s), TEMP(K), RH(%), PSFC(Pa),code,
1_1,9.870588235294127,15.546608996539787,4.499100346020765,5.548754325259518,0.29868512110726764,41.784013840830454,3.6375778546712794,0.18788927335640127,264.67885813148774,57.178131487889296,87611.67366782008,150800,
1_2,3.879204152249138,7.2077508650519,2.4573356401384103,2.0047058823529413,0.24484429065743907,38.40394463667819,-3.835951557093427,-4.457612456747407,260.723079584775,59.9430795847751,88470.04346020763,150800,
1_3,5.741937716262977,9.582664359861589,4.402768166089968,4.192802768166092,0.2913148788927341,38.75847750865049,-5.36650519031142,-2.555467128027683,259.11058823529424,48.23366782006922,88686.15204152251,150800,
1_4,15.10176470588235,26.834636678200706,11.781833910034605,13.019307958477508,0.4691003460207616,34.42017301038063,-6.2402076124567465,-0.8388235294117644,260.66280276816616,74.55847750865054,87977.22048442913,150800,
1_5,26.251695501730108,39.80176470588233,16.480761245674728,15.468339100346013,0.6129065743944645,32.951764705882375,-5.222283737024221,-1.160761245674741,261.97058823529403,65.63494809688581,87648.4383044983,150800,
1_6,29.368339100346017,43.60923875432525,16.81885813148789,17.624429065743932,0.6603460207612454,32.92183391003459,-1.4610380622837364,-0.15737024221453316,261.5735640138408,72.34761245674737,87537.97370242217,150800,
1_7,13.989723183391005,18.184602076124587,5.314359861591696,1.8647058823529408,0.28698961937716383,51.95432525951555,7.88262975778547,-1.0421107266435985,258.2315224913495,66.59093425605538,87530.79671280277,150800,
1_8,4.691903114186851,8.85899653979239,1.7019031141868506,1.2161245674740482,0.21951557093425536,56.56041522491349,8.309480968858129,-2.863252595155711,258.30532871972315,65.31508650519032,87628.56612456747,150800,
1_9,3.436920415224911,5.720588235294116,1.3431487889273348,1.1612110726643603,0.20204152249134893,55.750069204152254,7.748858131487887,-4.093356401384083,259.30294117647037,67.45602076124564,87770.88283737027,150800,
1_10,4.420138408304497,7.796124567474052,1.7792733564013845,2.0719377162629775,0.2117993079584779,55.01294117647057,5.84961937716263,-1.9218685121107253,260.67965397923876,67.4180968858132,88016.63245674744,150800,
1_11,8.548719723183387,14.328650519031138,4.105536332179935,5.807716262975777,0.31851211072664387,55.91612456747408,2.1875778546712805,1.121833910034602,261.09363321799316,65.02328719723188,88232.00885813155,150800,
1_12,24.95453287197229,36.54560553633216,13.580000000000002,16.405224913494795,0.5535986159169548,52.13411764705884,1.2118685121107262,4.129653979238754,263.0075778546713,54.710553633217984,87794.34079584769,150800,
1_13,43.47972318339101,59.31131487889277,18.10397923875433,26.44411764705884,0.8840138408304501,36.2324221453287,4.645017301038063,4.217439446366781,263.5856747404844,62.587543252595175,87342.74138408307,150800,
1_14,12.141937716262978,19.10948096885813,6.6069896193771624,8.110968858131478,0.31927335640138405,46.901003460207626,3.0297923875432518,1.6390311418685126,262.94325259515574,65.27076124567478,87375.63830449822,150800,
1_15,19.758062283737015,40.76297577854673,11.59955017301038,15.651764705882352,0.5796885813148785,44.299307958477506,6.418892733564016,1.938200692041522,263.81840830449795,59.554740484429075,87205.60349480968,150800,
1_16,13.835294117647067,35.27307958477507,9.312352941176462,12.052733564013845,0.4078200692041517,46.05782006920418,3.6015224913494808,2.9750865051903115,263.2682352941176,56.859723183391,86728.84166089972,150800,
1_17,5.281245674740484,12.85449826989619,2.4763321799307985,2.5005882352941167,0.21865051903114174,53.76657439446365,7.39923875432526,0.8574740484429063,261.0045328719722,64.0182698961938,87181.01242214532,150800,
1_18,4.05529411764706,7.1591003460207645,2.2484083044982692,2.489826989619379,0.2205882352941178,59.53885813148785,9.56702422145328,1.6107612456747407,262.65138408304495,55.86851211072668,87449.16653979235,150800,
1_19,3.5756401384083047,5.297612456747404,2.0282698961937706,2.2626989619377165,0.20733564013840705,59.07217993079581,7.857750865051902,0.2352249134948099,263.2174048442908,56.48114186851211,87531.97906574387,150800,
1_20,4.355086505190307,7.38352941176471,2.266401384083045,2.5605190311418697,0.2095847750865042,52.981626297577854,7.819169550173006,0.42494809688581325,263.9722491349478,54.39622837370242,87278.27491349484,150800,
1_21,5.15262975778547,11.677647058823535,1.867301038062282,1.766470588235295,0.18685121107266353,46.156401384083075,4.270553633217991,-1.9172318339100343,262.7631141868511,61.288339100346064,87211.80702422146,150800,
1_22,3.5671972318339065,5.882941176470585,2.030795847750864,1.362076124567472,0.22103806228373807,47.911937716262955,-2.4062283737024237,-4.9627681660899645,253.85034602076124,57.446505190311434,87607.44252595148,150800,
1_23,4.822249134948094,7.033356401384082,3.472352941176468,2.8906574394463633,0.2715224913494814,54.98986159169549,-0.26878892733563997,-1.631868512110727,252.6160899653977,34.08204152249134,87848.82487889272,150800,
1_24,12.494186851211062,17.189065743944642,8.565294117647051,6.65882352941176,0.3415916955017297,52.8425605536332,-2.630000000000001,-1.1664705882352944,256.103944636678,30.8657785467128,87806.01301038067,150800,
1_25,7.435778546712801,12.106332179930801,5.948027681660895,6.659757785467128,0.29975778546712745,51.71903114186853,-5.424878892733563,-1.2256747404844293,255.73321799307962,54.185536332179915,88025.2167128028,150800,
1_26,29.981003460207596,49.32705882352944,22.19640138408304,23.418996539792374,0.6959861591695503,34.028339100346,-3.986193771626299,-0.45193771626297613,259.10055363321806,68.03975778546716,87656.2450519031,150800,
1_27,19.521003460207613,34.66782006920411,7.6733217993079625,9.18321799307958,0.41550173010380637,49.016159169550164,-3.6191695501730115,-6.645882352941176,255.0106920415226,63.8347750865052,87914.54404844294,150800,
1_28,1.816020761245676,4.87567474048443,1.0992387543252577,1.1770934256055368,0.23256055363321806,63.324775086505205,2.9368858131487894,-4.4294463667820105,252.871660899654,48.86871972318338,88434.47999999998,150800,
1_29,2.073494809688588,3.8243252595155726,1.6150519031141912,2.390899653979241,0.25498269896193687,62.481937716262934,4.332629757785467,-1.2956747404844298,256.79363321799303,45.78982698961938,88198.00017301037,150800,
1_30,2.7588927335640174,5.272456747404849,1.4175432525951552,1.8908996539792395,0.27678200692041477,62.38619377162629,7.255155709342558,-0.8131141868512098,257.7830103806227,45.70553633217992,87977.1681314879,150800,
1_31,6.211937716262978,18.74477508650519,2.106851211072664,1.8631141868512104,0.22460207612456762,58.30453287197231,7.217404844290655,0.0687889273356403,259.5278892733565,55.776332179930805,87844.69404844286,150800,
2_1,3.7706228373702424,8.122041522491347,1.9945674740484427,1.846159169550174,0.23754325259515627,52.94501730103804,0.4366089965397923,-5.463564013840832,257.5258477508651,60.40771626297576,88132.77422145329,150800,
2_2,3.13128027681661,4.585847750865051,1.7587197231833906,1.9777162629757763,0.2573010380622829,53.086955017300994,3.59401384083045,-2.4507612456747414,256.74086505190314,47.36301038062284,88791.18152249137,150800,
2_3,2.9485467128027643,4.452525951557095,1.742975778546712,2.4792041522491344,0.2569896193771621,55.8657785467128,3.039826989619377,-1.7481314878892718,259.23321799307934,42.33134948096883,88559.74730103809,150800,
2_4,2.722560553633212,4.413114186851201,1.7644290657439443,2.4451903114186853,0.2619031141868509,61.803737024221434,4.0219723183391025,-0.9658823529411762,261.54937716262987,38.326055363321814,88420.90453287195,150800,
2_5,2.9665743944636667,4.36799307958478,1.587647058823531,2.303460207612458,0.25577854671280204,60.21813148788922,2.817301038062285,-1.0128373702422144,262.1842560553633,42.02761245674738,88199.79304498268,150800,
2_6,5.0286851211072685,7.335224913494813,2.5680276816608996,3.796920415224909,0.267404844290659,62.757647058823565,2.6232871972318335,-2.5469896193771624,262.1944290657439,40.635467128027685,87842.48657439437,150800,
2_7,3.1410726643598608,5.816712802768167,2.5930449826989617,2.5707958477508637,0.22657439446366803,63.34692041522489,0.9217993079584774,-1.337162629757786,261.0658477508652,49.1966435986159,87853.21435986158,150800,
2_8,11.676955017301037,29.900173010380627,6.573667820069204,6.199100346020758,0.2915916955017305,53.801349480968874,7.652352941176474,2.2407612456747406,263.67173010380645,43.237993079584776,86702.26792387545,150800,
2_9,5.220207612456744,17.307474048442923,1.5320069204152251,0.940795847750865,0.19138408304498222,62.73044982698963,2.9503114186851196,-4.433667820069199,258.6088235294118,49.600692041522464,87455.2207958478,150800,
2_10,2.1090311418685146,5.152837370242204,0.9008650519031135,1.0551211072664366,0.21446366782007045,59.90567474048441,5.204532871972317,-4.300449826989622,257.0401384083045,47.14871972318338,87896.8408304498,150800,
2_11,1.3474740484429077,3.529031141868515,0.7076816608996532,0.8821107266436002,0.19892733564013834,60.0969896193772,6.439238754325263,-5.474394463667825,258.1543252595155,44.75750865051901,88164.93034602074,150800,
2_12,2.5226297577854684,6.175017301038065,2.021626297577859,1.9582006920415231,0.21906574394463532,56.20003460207615,8.281487889273356,1.3640138408304503,264.24598615916955,39.76228373702424,87793.53474048439,150800,
2_13,5.494325259515572,9.550968858131487,4.649619377162627,3.8841522491349494,0.26619377162629737,56.18844290657437,5.270346020761243,-0.6969896193771633,266.80190311418687,42.25629757785463,87088.11024221453,150800,
2_14,5.1279238754325265,8.263979238754319,3.8980622837370156,2.9805190311418692,0.22678200692041423,57.291626297577864,-2.4337024221453296,-0.8444290657439446,265.25339100346014,48.30868512110729,87488.45332179923,150800,
2_15,13.78512110726645,19.826089965397898,7.349723183390999,8.154359861591695,0.3766782006920415,48.221072664359845,2.7435986159169556,0.939411764705883,266.5966782006921,43.120449826989606,87373.03249134946,150800,
2_16,23.367785467127998,31.56221453287197,8.107370242214538,6.261730103806234,0.36865051903114215,49.61370242214535,0.4165743944636679,0.6323875432525949,267.4353979238753,38.589584775086486,87459.14650519032,150800,
2_17,8.914913494809676,15.69892733564014,3.5030103806228374,3.6764359861591718,0.24546712802768098,46.996262975778556,6.69851211072664,0.4413148788927334,269.262456747405,47.8528373702422,87376.64944636678,150800,
2_18,5.804532871972316,14.607439446366774,1.5699307958477506,1.3147750865051908,0.19955017301038122,49.817301038062254,4.904048442906575,-1.4638754325259524,268.338615916955,44.89020761245674,87672.31065743942,150800,
2_19,3.828961937716263,6.5550173010380535,2.2082698961937743,1.2752249134948088,0.20705882352941193,47.99224913494813,-0.7355017301038065,-2.8808304498269903,265.6022145328721,51.72318339100349,87797.96705882353,150800,
2_20,6.28750865051903,8.450173010380626,3.977058823529409,2.5425605536332156,0.24955017301038004,52.05006920415224,1.4677854671280275,-0.4212110726643601,264.8521107266435,39.33657439446369,87936.49802768172,150800,
2_21,3.6204498269896233,5.662802768166092,2.199896193771627,1.3993771626297575,0.21930795847750853,55.12525951557095,6.355986159169552,-2.03439446366782,265.10965397923866,35.37737024221453,87666.54311418683,150800,
2_22,3.630692041522489,6.33664359861592,2.000484429065742,1.7886159169550155,0.21152249134948128,58.586435986159216,8.088996539792385,-0.7833564013840835,266.5746020761247,33.61910034602079,87111.66930795848,150800,
2_23,4.746332179930798,7.091626297577858,2.297197231833911,2.502006920415226,0.20927335640138242,49.966124567474054,2.4367474048442923,-1.700830449826989,268.1739446366782,41.91619377162632,87221.49598615916,150800,
2_24,6.288027681660902,10.252629757785462,4.559169550173011,5.856920415224918,0.3104498269896198,48.67501730103805,3.1083737024221456,0.9029065743944636,268.98352941176466,50.2061937716263,87759.38446366781,150800,
2_25,7.582110726643595,12.313564013840823,5.226193771626297,4.703079584775086,0.2568166089965408,49.696712802768154,6.208788927335642,2.6479238754325265,272.7847404844289,46.598581314878906,87352.52079584771,150800,
2_26,6.879134948096888,13.0984429065744,2.0242560553633244,2.5307612456747397,0.22190311418685188,46.741107266435975,1.7468512110726642,-2.246643598615919,272.72166089965395,40.315467128027684,87495.0685813149,150800,
